Timestamp,X Accel,Y Accel,Z Accel
57:22.0,0.469999999,-1.169999957,-12.02999973
57:22.3,-0.02,-0.810000002,-11.98999977
57:22.7,-0.200000003,-0.649999976,-12.46000004
57:23.0,-0.100000001,-1.230000019,-12.48999977
57:23.3,0.090000004,-1.129999995,-11.76000023
57:23.6,0.050000001,-0.620000005,-12.18000031
57:23.9,-0.49000001,-0.839999974,-13.76000023
57:24.2,0.119999997,-0.629999995,-13.25
57:24.5,0,-1.049999952,-14.42000008
57:24.9,0.400000006,-1.25999999,-14.35000038
57:25.2,-0.170000002,-1.179999948,-14.63000011
57:25.5,-0.310000002,-1.570000052,-13.31999969
57:25.8,0.400000006,-1.179999948,-15.15999985
57:26.1,0.310000002,-1.409999967,-15.22999954
57:26.4,0.100000001,-1.25999999,-14.51000023
57:26.7,-0.25999999,-1.110000014,-15.75
57:27.1,0.170000002,-1.169999957,-16.10000038
57:27.4,0.569999993,-1.100000024,-16.03000069
57:27.7,0.340000004,-0.600000024,-16.03000069
57:28.0,-0.07,-1.200000048,-16.27000046
57:28.3,-0.25,-0.769999981,-16.94000053
57:28.6,-0.449999988,-1.320000052,-16.12000084
57:28.9,-0.230000004,-1.230000019,-17.03000069
57:29.3,0.159999996,-1.49000001,-17.20000076
57:29.6,-0.239999995,-1.539999962,-16.90999985
57:29.9,-0.310000002,-1.399999976,-16.26000023
57:30.2,-1.25999999,-1.230000019,-17.18000031
57:30.5,-0.550000012,-1.340000033,-16.05999947
57:30.8,0.379999995,-1.419999957,-16.84000015
57:31.1,0.039999999,-1.289999962,-17.27000046
57:31.4,-0.280000001,-1.120000005,-16.65999985
57:31.8,0.140000001,-1.110000014,-17.01000023
57:32.1,-0.039999999,-1.309999943,-17.11000061
57:32.4,-0.209999993,-0.720000029,-17.37000084
57:32.7,-0.75,-1.860000014,-17.34000015
57:33.0,-0.519999981,-1.710000038,-16.39999962
57:33.3,0.219999999,-1.100000024,-17.47999954
57:33.7,-0.029999999,-0.769999981,-17.46999931
57:34.0,-0.039999999,-0.889999986,-17.12999916
57:34.3,-0.02,-1.159999967,-17.19000053
57:34.6,0.01,-0.970000029,-17.94000053
57:34.9,0.270000011,-1.559999943,-18.12999916
57:35.2,-0.660000026,-1.450000048,-17.39999962
57:35.5,0.140000001,-1.620000005,-17.60000038
57:35.9,-0.600000024,-1.480000019,-17.31999969
57:36.2,0.200000003,-1.480000019,-17.39999962
57:36.5,-0.449999988,-1.539999962,-17.22999954
57:36.8,-0.419999987,-1.230000019,-17.53000069
57:37.1,-0.079999998,-1.129999995,-17.40999985
57:37.4,-0.850000024,-0.980000019,-16.42000008
57:37.7,0.090000004,-1.120000005,-17.43000031
57:38.0,-0.25,-1.620000005,-17.68000031
57:38.4,0.819999993,-1.230000019,-17.14999962
57:38.7,-0.610000014,-1.309999943,-17.86000061
57:39.0,-0.25,-1.279999971,-16.72999954
57:39.3,-0.150000006,-0.899999976,-16.72999954
57:39.6,0.349999994,-0.949999988,-17.03000069
57:39.9,0.280000001,-1.279999971,-16.95999908
57:40.2,0.839999974,-0.379999995,-16.57999992
57:40.6,0.310000002,-1.440000057,-17.43000031
57:40.9,0.079999998,-0.959999979,-17.46999931
57:41.2,-1.070000052,-1.549999952,-17.80999947
57:41.5,0.720000029,-1.149999976,-17.69000053
57:41.8,1.019999981,-0.889999986,-17.93000031
57:42.1,0.720000029,-1.039999962,-17.18000031
57:42.5,-0.050000001,-0.819999993,-16.63999939
57:42.8,-0.02,-1.220000029,-17.81999969
57:43.1,-0.360000014,-1.350000024,-18.04000092
57:43.4,-0.100000001,-0.899999976,-17.23999977
57:43.7,-0.730000019,-1.059999943,-17.13999939
57:44.0,0.100000001,-1.860000014,-17.31999969
57:44.3,-1.059999943,-1.870000005,-16.22999954
57:44.6,-0.670000017,-1.25,-16.78000069
57:44.9,-0.670000017,-1.5,-17.35000038
57:45.3,-0.280000001,-0.25,-16.34000015
57:45.6,-0.589999974,-1.059999943,-15.93000031
57:45.9,0.209999993,-0.899999976,-16.53000069
57:46.2,0.589999974,-1.75,-16.53000069
57:46.5,-0.230000004,-1.399999976,-16.96999931
57:46.8,-0.090000004,-1.720000029,-17.37000084
57:47.2,-0.870000005,-1.100000024,-16.92000008
57:47.5,0.119999997,-1.179999948,-16.96999931
57:47.8,-0.340000004,-0.959999979,-16.95999908
57:48.1,0.370000005,-1.330000043,-17.05999947
57:48.4,0.02,-1.669999957,-17.07999992
57:48.7,-0.079999998,-1.5,-17.46999931
57:49.0,-0.819999993,-1.299999952,-18.34000015
57:49.4,0.140000001,-1.25999999,-16.95999908
57:49.7,0.610000014,-1.669999957,-17.70000076
57:50.0,-0.569999993,-1.5,-16.56999969
57:50.3,-0.800000012,-0.639999986,-15.14000034
57:50.6,-0.560000002,-2.00999999,-16.75
57:50.9,0.50999999,-1.350000024,-16.86000061
